text,username,time,image,location,engagement,label
"RT @wusf: The red tide blooms persisting along Florida's Gulf coast have now reached Pasco County, according to @MyFWC. @JMMeszaros
. https   wusfnews wusf usf edu environment 2021 06 24 red tide blooms have now reached pasco county",unklekerri,{'$date': '2021-06-24T00:00:00Z'},https://pbs.twimg.com/profile_images/1310601426729656322/ImcPiSj1_normal.jpg,Pasco,2,No Label
"Scientists know Red Tide can cause sneezing, coughing and watery eyes. But they still have a lot to learn about the health impacts, especially neurological problems.
. https   www tampabay com news environment 2021 07 29 red tide isnt just bad for fish a st petersburg man learned that in the er",TB_Times,{'$date': '2021-07-30T00:00:00Z'},https://pbs.twimg.com/profile_images/1066713591246725120/wFmoB0Xs_normal.jpg,Pinellas,25,media
"RT @NPR: At least 600 tons of sea life have been killed by a red tide along Tampa Bay's shore.

Ocean scientists say an algae bloom of this size and intensity shouldn't be happening right now.
. https   www npr org 2021 07 13 1015312707 a summer red tide has left hundreds of tons of dead fish along tampa bays shore",menephous,{'$date': '2021-07-14T00:00:00Z'},https://pbs.twimg.com/profile_images/1427116239655145474/EIH1d8WD_normal.jpg,Hillsborough,241,other
Trump is visiting #Tampa today. Can someone please explain to him that #Florida's manatees are dying due to Rick Scott's lack-of policy that created this Red Tide. Manatees are Endangered and protected by the Endangered Species Act that Trump is trying to destroy.  #trumptampa . https   twitter com altNOAA status 1024366974514679808 photo 1,altNOAA,{'$date': '2018-07-31T00:00:00Z'},https://pbs.twimg.com/profile_images/824692083180986368/ghs8RK-P_normal.jpg,Hillsborough,1260,other
Red Tide explosion has reached Pinellas as many feared-- a crisis made WORSE by rising sea temperatures AND nitrate pollution de-regulated by Tallahassee politicians. It's time we put environmental protection back into the FL DEP! 🌊 . https   www tampabay com news Red Tide arrives in Pinellas killing hundreds of thousands of fish_171618836,CarlosGSmith,{'$date': '2018-09-10T00:00:00Z'},https://pbs.twimg.com/profile_images/1576371242764058624/8EBqJXOi_normal.jpg,Pinellas,64,No Label
"Red Tide Causing Fish Kills In Pinellas, Pasco And Hillsborough Counties -  #GoogleAlerts. https   wusfnews wusf usf edu environment 2021 07 02 red tide causing fish kills in pinellas pasco and hillsborough counties",FloridaIssues,{'$date': '2021-07-03T00:00:00Z'},https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg,Pasco,3,No Label
"@nikkifried @DrSeaPerle Florida —- could be a beacon and model of green renewable  energy and protection/honor of this beautiful fragile eco system 

Instead , greed and political ambition has made it a sewer . https   twitter com CathyNotToday status 1376911117709058055 photo 1",CathyNotToday,{'$date': '2021-03-30T00:00:00Z'},https://pbs.twimg.com/profile_images/1080162644429078528/Vz7J_JSy_normal.jpg,Manatee,25,No Label
"I don't know why Rick Scott would think he would be with friends in a town that has been devastated by Red Tide; but he learned a hard lesson today in Venice, #Florida!  No to #RedTideRick and lets fix this damn algae problem!
. https   www orlandoweekly com Blogs archives 2018 09 17 rick scott bood out of restaurant over floridas red tide crisis",altNOAA,{'$date': '2018-09-17T00:00:00Z'},https://pbs.twimg.com/profile_images/824692083180986368/ghs8RK-P_normal.jpg,Sarasota,507,other
Aerial view from my #drone of the #redtide waters off of Madeira Beach showing an empty beach on an otherwise beautiful Sunday afternoon. . https   twitter com LuisSantana status 1041426634178527232 photo 1,LuisSantana,{'$date': '2018-09-16T00:00:00Z'},https://pbs.twimg.com/profile_images/1413686310951337989/6W-bLZB5_normal.jpg,Pinellas,56,No Label
"The FWC said the highest concentrations were found at Sunken Island in the Hillsborough Bay, Anclote Key, Sand Key and Snake Key. . https   patch com florida clearwater s hnk47 high levels red tide detected hillsborough pasco counties",ClearwaterPatch,{'$date': '2021-07-01T00:00:00Z'},https://pbs.twimg.com/profile_images/940278759386574848/6zlHtg0E_normal.jpg,Pasco,0,media
"On Florida’s Gulf Coast, fish kills suspected to be related to red tide were reported in Hernando, Pasco, Pinellas, Hillsborough, Manatee, Sarasota, Charlotte, Lee, and Collier counties over the past week. For more details, please visit:  . https   www tampabay com news environment 2021 07 24 red tide suspected as manatees deaths pile up in tampa bay",EdTruman3,{'$date': '2021-08-03T00:00:00Z'},https://pbs.twimg.com/profile_images/1098591923277836288/1vfqEbYj_normal.png,Pasco,6,other
"“We are asking the governor, please ... we need your help,” St. Petersburg Mayor Rick Kriseman said. Instead, he got a rebuke from DeSantis. . https   www tampabay com news environment 2021 07 14 st petersburg mayor to desantis we need your help with red tide",TB_Times,{'$date': '2021-07-15T00:00:00Z'},https://pbs.twimg.com/profile_images/1066713591246725120/wFmoB0Xs_normal.jpg,Pinellas,111,media
Just one tiny bit of beachfront on upper Boca Ciega Bay. The scale of this #redtide fish kill is heartbreaking. . https   twitter com matt_hommeyer status 1041376871936602113 video 1,matt_hommeyer,{'$date': '2018-09-16T00:00:00Z'},https://pbs.twimg.com/profile_images/823872133097025536/_ssTrwPv_normal.jpg,Pinellas,53,No Label
You actually have to work really hard to be this awful. DeSantis succeeds. . https   www axios com ron desantis tampa bay red tide state of emergency 334ecd4c 700c 4a1e 8f99 2495d22c84a9 html,rogertansey,{'$date': '2021-07-23T00:00:00Z'},https://pbs.twimg.com/profile_images/1509707595870744577/CGpgRp9E_normal.jpg,Hillsborough,79,No Label
"The FWC said the highest concentrations were found at Sunken Island in the Hillsborough Bay, Anclote Key, Sand Key and Snake Key. . https   patch com florida carrollwood s hnk47 high levels red tide detected hillsborough pasco counties",CwoodPatch,{'$date': '2021-07-01T00:00:00Z'},https://pbs.twimg.com/profile_images/940278530021003264/Dinv_2_n_normal.jpg,Pasco,0,media
"It’s been one year since more than 215 million gallons of hazardous mining wastewater poured into Florida’s Tampa Bay. That water fueled a toxic red tide that devastated the Gulf Coast — and today, the problem is still far from over.
  . https   www cbsnews com news piney point mining facility dumped years worth hazardous nutrients tampa bay 10 days study. https   twitter com CBSNews status 1521099546209796096 video 1",CBSNews,{'$date': '2022-05-02T00:00:00Z'},https://pbs.twimg.com/profile_images/1617634745348661249/6YmPYpNd_normal.jpg,Hillsborough,128,No Label
